"Cement","Blast_Furnace_Slag","Fly_Ash","Water","Superplasticizer","Coarse_Aggregate","Fine_Aggregate","Age","Compressive"
153,102,0,192,0,888,943.1,7,8.37
116,173,0,192,0,909.8,891.9,7,10.09
141.3,212,0,203.5,0,971.8,748.5,3,4.83
122.6,183.9,0,203.5,0,958.2,800.1,7,10.35
166.8,250.2,0,203.5,0,975.6,692.6,90,43.57
203.5,305.3,0,203.5,0,963.4,630,90,51.86
310,0,0,192,0,1012,830,3,11.85
310,0,0,192,0,1012,830,7,17.24
310,0,0,192,0,1012,830,28,27.83
310,0,0,192,0,1012,830,90,35.76
310,0,0,192,0,1012,830,120,38.7
331,0,0,192,0,1025,821,3,14.31
331,0,0,192,0,1025,821,7,17.44
331,0,0,192,0,1025,821,28,31.74
331,0,0,192,0,1025,821,90,37.91
349,0,0,192,0,1056,809,3,15.87
349,0,0,192,0,1056,809,28,33.61
349,0,0,192,0,1056,809,90,40.66
349,0,0,192,0,1056,809,120,40.86
238,0,0,186,0,1119,789,7,12.05
238,0,0,186,0,1119,789,28,17.54
296,0,0,186,0,1090,769,7,18.91
296,0,0,186,0,1090,769,28,25.18
297,0,0,186,0,1040,734,7,30.96
480,0,0,192,0,936,721,28,43.89
480,0,0,192,0,936,721,90,54.28
281,0,0,186,0,1104,774,7,14.5
281,0,0,185,0,1104,774,28,22.44
500,0,0,200,0,1125,613,1,12.64
500,0,0,200,0,1125,613,3,26.06
500,0,0,200,0,1125,613,7,33.21
500,0,0,200,0,1125,613,14,36.94
500,0,0,200,0,1125,613,28,44.09
540,0,0,173,0,1125,613,7,52.61
540,0,0,173,0,1125,613,14,59.76
540,0,0,173,0,1125,613,180,71.62
350,0,0,203,0,974,775,7,18.13
350,0,0,203,0,974,775,56,29.98
350,0,0,203,0,974,775,90,31.35
350,0,0,203,0,974,775,180,32.72
385,0,0,186,0,966,763,1,6.27
385,0,0,186,0,966,763,3,14.7
385,0,0,186,0,966,763,7,23.22
385,0,0,186,0,966,763,14,27.92
385,0,0,186,0,966,763,28,31.35
331,0,0,192,0,978,825,180,39
331,0,0,192,0,978,825,360,41.24
331,0,0,192,0,978,825,3,13.52
382,0,0,186,0,1047,739,7,24
339,0,0,185,0,1069,754,28,31.84
295,0,0,185,0,1069,769,7,14.8
295,0,0,185,0,1069,769,28,25.18
238,0,0,185,0,1118,789,28,17.54
296,0,0,192,0,1085,765,7,14.2
296,0,0,192,0,1085,765,28,21.65
296,0,0,192,0,1085,765,90,29.39
331,0,0,192,0,879,825,3,13.52
331,0,0,192,0,978,825,7,16.26
331,0,0,192,0,978,825,28,31.45
331,0,0,192,0,978,825,90,37.23
349,0,0,192,0,1047,806,90,39.49
349,0,0,192,0,1047,806,180,41.05
302,0,0,203,0,974,817,14,18.13
525,0,0,189,0,1125,613,180,61.92
500,0,0,200,0,1125,613,90,47.22
500,0,0,200,0,1125,613,180,51.04
540,0,0,173,0,1125,613,3,41.64
393,0,0,192,0,940,758,3,19.11
393,0,0,192,0,940,758,28,39.58
382,0,0,185,0,1047,739,7,24
382,0,0,185,0,1047,739,28,37.42
310,0,0,192,0,970,850,90,34.68
310,0,0,192,0,970,850,180,37.33
525,0,0,189,0,1125,613,7,42.42
525,0,0,189,0,1125,613,28,55.94
525,0,0,189,0,1125,613,90,58.78
525,0,0,189,0,1125,613,270,67.11
322,0,0,203,0,974,800,14,20.77
322,0,0,203,0,974,800,28,25.18
302,0,0,203,0,974,817,28,21.75
397,0,0,185,0,1040,734,28,39.09
522,0,0,146,0,896,896,28,74.99
273,105,82,210,9,904,680,28,37.17
162,190,148,179,19,838,741,28,33.76
154,144,112,220,10,923,658,28,16.5
147,115,89,202,9,860,829,28,19.99
152,178,139,168,18,944,695,28,36.35
310,143,111,168,22,914,651,28,33.69
304,140,0,214,6,895,722,28,33.42
374,0,0,190,7,1013,730,28,39.05
310,143,0,168,10,914,804,28,45.3
305,0,100,196,10,959,705,28,30.12
142,167,130,174,11,883,785,28,44.61
298,137,107,201,6,878,655,28,53.52
321,164,0,190,5,870,774,28,57.21
280,129,100,172,9,825,805,28,52.82
252,97,76,194,8,835,821,28,33.4
156,243,0,180,11,1022,698,28,37.36
298,0,107,186,6,879,815,28,42.64
318,0,126,210,6,861,737,28,40.06
287,121,94,188,9,904,696,28,41.94
326,166,0,174,9,882,790,28,61.23
356,0,142,193,11,801,778,28,40.87
132,207,161,179,5,867,736,28,33.3
322,149,0,186,8,951,709,28,52.42
164,0,200,181,13,849,846,28,15.09
321,0,128,182,11,870,780,28,37.26
298,0,107,210,11,880,744,28,31.87
160,250,0,168,12,1049,688,28,39.45
166,260,0,183,13,859,827,28,37.91
322,0,116,196,10,818,813,28,31.18
149,139,109,193,6,892,780,28,23.69
155,183,0,193,9,1047,697,28,18.28
313,145,0,178,8,867,824,28,44.39
152,0,112,184,8,992,816,28,12.18
153,145,113,178,8,1002,689,28,25.56
153,145,113,178,8,867,824,28,26.23
326,0,138,199,11,801,792,28,40.68
153,145,0,178,8,1000,822,28,19.01
262,111,86,195,5,895,733,28,33.72
158,0,195,220,11,898,713,28,8.54
151,0,185,167,16,1074,678,28,13.46
273,0,90,199,11,931,762,28,32.24
149,118,92,183,7,953,780,28,23.52
143,169,143,191,8,967,643,28,29.72
260,101,78,171,10,936,763,28,49.77
313,161,0,178,10,917,759,28,52.44
284,120,0,168,7,970,794,28,40.93
336,0,0,182,3,986,817,28,44.86
145,0,134,181,11,979,812,28,13.2
150,237,0,174,12,1069,675,28,37.43
155,183,0,193,9,877,868,28,23.79
266,112,87,178,10,910,745,28,39.42
314,145,113,179,8,869,690,28,46.23
144,136,106,178,7,941,774,28,26.14
298,0,107,164,13,953,784,28,35.86
155,184,143,194,9,880,699,28,28.99
289,134,0,195,6,924,760,28,46.24
148,175,0,171,2,1000,828,28,26.92
313,0,0,178,8,1000,822,28,25.1
136,162,126,172,10,923,764,28,29.07
255,99,77,189,6,919,749,28,33.8
162,207,172,216,10,822,638,28,39.84
136,196,98,199,6,847,783,28,26.97
164,163,128,197,8,961,641,28,27.23
162,214,164,202,10,820,680,28,30.65
149,153,194,192,8,935,623,28,24.58
135,105,193,196,6,965,643,28,21.91
159,209,161,201,7,848,669,28,30.88
144,15,195,176,6,1021,709,28,15.34
154,174,185,228,7,845,612,28,24.34
167,187,195,185,7,898,636,28,23.89
184,86,190,213,6,923,623,28,22.93
156,178,187,221,7,854,614,28,29.41
236.9,91.7,71.5,246.9,6,852.9,695.4,28,28.63
313.3,0,113,178.5,8,1001.9,688.7,28,36.8
296,0,106.7,221.4,10.5,819.2,778.4,28,31.42
133.1,210.2,0,195.7,3.1,949.4,795.3,28,28.94
313.3,145,0,178.5,8,867.2,824,28,40.93
151.6,0,111.9,184.4,7.9,992,815.9,28,12.18
153.1,145,113,178.5,8,1001.9,688.7,28,25.56
139.9,132.6,103.3,200.3,7.4,916,753.4,28,36.44
149.5,236,0,175.8,12.6,846.8,892.7,28,32.96
299.8,0,119.8,211.5,9.9,878.2,727.6,28,23.84
153.1,145,113,178.5,8,867.2,824,28,26.23
148.1,0,136.6,158.1,16.1,1001.8,830.1,28,17.96
326.5,0,137.9,199,10.8,801.1,792.5,28,38.63
152.7,144.7,0,178.1,8,999.7,822.2,28,19.01
261.9,110.5,86.1,195.4,5,895.2,732.6,28,33.72
158.4,0,194.9,219.7,11,897.7,712.9,28,8.54
272.6,0,89.6,198.7,10.6,931.3,762.2,28,32.25
149,117.6,91.7,182.9,7.1,953.4,780.3,28,23.52
143,169.4,142.7,190.7,8.4,967.4,643.5,28,29.73
259.9,100.6,78.4,170.6,10.4,935.7,762.9,28,49.77
312.9,160.5,0,177.6,9.6,916.6,759.5,28,52.45
336.5,0,0,181.9,3.4,985.8,816.8,28,44.87
143.7,170.2,132.6,191.6,8.5,814.1,805.3,28,29.87
154.8,0,142.8,193.3,9.1,1047.4,696.7,28,12.46
266.2,112.3,87.5,177.9,10.4,909.7,744.5,28,39.42
314,145.3,113.2,178.9,8,869.1,690.2,28,46.23
145.7,172.6,0,181.9,3.4,985.8,816.8,28,23.74
298.1,0,107.5,163.6,12.8,953.2,784,28,35.87
313.3,145,0,178.5,8,1001.9,688.7,28,41.05
155.2,183.9,143.2,193.8,9.2,879.6,698.5,28,28.99
147.8,175.1,0,171.2,2.2,1000,828.5,28,26.92
145.4,0,178.9,201.7,7.8,824,868.7,28,10.54
312.7,0,0,178.1,8,999.7,822.2,28,25.1
136.4,161.6,125.8,171.6,10.4,922.6,764.4,28,29.07
255.3,98.8,77,188.6,6.5,919,749.3,28,33.8
272.8,105.1,81.8,209.7,9,904,679.7,28,37.17
162,190.1,148.1,178.8,18.8,838.1,741.4,28,33.76
153.6,144.2,112.3,220.1,10.1,923.2,657.9,28,16.5
146.5,114.6,89.3,201.9,8.8,860,829.5,28,19.99
143.6,0,174.9,158.4,17.9,942.7,844.5,28,15.42
303.6,139.9,0,213.5,6.2,895.5,722.5,28,33.42
152.6,238.7,0,200,6.3,1001.8,683.9,28,26.86
310,142.8,0,167.9,10,914.3,804,28,45.3
304.8,0,99.6,196,9.8,959.4,705.2,28,30.12
150.9,0,183.9,166.6,11.6,991.2,772.2,28,15.57
297.8,137.2,106.9,201.3,6,878.4,655.3,28,53.52
321.3,164.2,0,190.5,4.6,870,774,28,57.22
366,187,0,191.3,6.6,824.3,756.9,28,65.91
279.8,128.9,100.4,172.4,9.5,825.1,804.9,28,52.83
155.6,243.5,0,180.3,10.7,1022,697.7,28,37.36
160.2,188,146.4,203.2,11.3,828.7,709.7,28,35.31
298.1,0,107,186.4,6.1,879,815.2,28,42.64
317.9,0,126.5,209.7,5.7,860.5,736.6,28,40.06
355.9,0,141.6,193.3,11,801.4,778.4,28,40.87
132,206.5,160.9,178.9,5.5,866.9,735.6,28,33.31
322.5,148.6,0,185.8,8.5,951,709.5,28,52.43
313.8,0,112.6,169.9,10.1,925.3,782.9,28,38.46
321.4,0,127.9,182.5,11.5,870.1,779.7,28,37.27
288.4,121,0,177.4,7,907.9,829.5,28,42.14
298.2,0,107,209.7,11.1,879.6,744.2,28,31.88
264.5,111,86.5,195.5,5.9,832.6,790.4,28,41.54
166,259.7,0,183.2,12.7,858.8,826.8,28,37.92
322.2,0,115.6,196,10.4,817.9,813.4,28,31.18
148.5,139.4,108.6,192.7,6.1,892.4,780,28,23.7
159.1,186.7,0,175.6,11.3,989.6,788.9,28,32.77
260.9,100.5,78.3,200.6,8.6,864.5,761.5,28,32.4
